RunNo,EventNo,wallNo,trackSFinterceptX,trackSFinterceptY,trackTX,trackTY,SFX,SFY
1655942868,159,4,-30.389,29.133,-0.028,-0.087,-27.527,29.713
1655942868,184,3,-27.627,38.849,0.015,0.013,-26.951,38.448
1655942868,308,3,-35.260,33.250,-0.008,-0.027,-29.020,34.633
1655942868,412,4,-27.675,27.141,0.006,-0.007,-26.395,30.349
1655942868,444,3,-29.891,44.391,0.006,-0.007,-27.976,39.483
1655942868,453,4,-29.959,35.206,0.026,-0.007,-29.450,34.169
1655942868,454,4,-22.068,34.484,-0.114,-0.068,-23.927,34.479
1655942868,575,3,-19.571,44.468,0.042,-0.067,-23.211,39.788
1655942868,609,3,-39.914,32.708,0.006,0.013,-32.782,32.843
1655942868,617,4,-20.358,42.095,0.016,0.013,-24.290,39.167
1655942868,622,4,-35.586,33.149,-0.014,-0.007,-30.245,32.426
1655942868,635,4,-20.705,42.389,0.006,0.013,-23.760,36.664
1655942868,644,4,-30.844,30.157,0.021,0.033,-29.542,32.769
1655942868,670,4,-30.461,22.841,0.080,0.014,-29.314,30.535
