Parameter                                  Value  Uncertainty
-----------------------------------------------------------------
mu_MC_CC_nue                               1.001   0.00166248
mu_MC_CC_numu                              1.001     0.001031
mu_MC_NC_nue                               1.001   0.00173903
mu_MC_NC_numu                              1.001    0.0012802
mu_kaon                              5.65912e-05      6.18345
mu_neutron                               5.81761     0.483691
staterror_CR[0]                          1.00135    0.0140527
staterror_CR[1]                         0.996912    0.0199546
staterror_CR[2]                           1.0003     0.025068
staterror_CR[3]                         0.995971    0.0294349
staterror_CR[4]                          0.99775    0.0311797
staterror_CR[5]                          1.00195    0.0334023
staterror_CR[6]                          1.00275    0.0353312
staterror_CR[7]                          1.00512    0.0348343
staterror_CR[8]                          1.00085    0.0360822
staterror_CR[9]                          1.00016    0.0396677
