Parameter                                  Value  Uncertainty
-----------------------------------------------------------------
mu_MC_CC_nue                            0.999433   0.00102679
mu_MC_CC_numu                            1.00022   0.00128419
mu_MC_NC_nue                            0.999071   0.00182585
mu_MC_NC_numu                            1.00006   0.00141229
mu_MC_kaon_10_20GeV                  3.61427e-05       1.0877
mu_MC_kaon_20_30GeV                  4.38092e-05      6.19214
mu_MC_kaon_30_40GeV                    0.0144076      8.04308
mu_MC_kaon_50_60GeV                      3.53161      8.08517
mu_MC_kaon_5_10GeV                       9.29491      8.55947
mu_MC_kaon_60_70GeV                   0.00761832      8.60169
mu_MC_kaon_70_80GeV                      9.97381      8.22498
mu_MC_kaon_80_90GeV                      9.99798      8.38364
mu_MC_kaon_90_100GeV                     9.99999       8.4378
mu_MC_neutron_10_20GeV                   3.27353      2.11105
mu_MC_neutron_20_30GeV               1.91418e-05       6.4057
mu_MC_neutron_30_40GeV                   9.98328      8.19054
mu_MC_neutron_50_60GeV                   9.99181      8.60615
mu_MC_neutron_5_10GeV                4.69746e-05       7.0309
mu_MC_neutron_60_70GeV                        10      8.28737
mu_MC_neutron_70_80GeV               0.000266397      8.49571
mu_MC_neutron_80_90GeV                        10      8.43027
staterror_CR[0]                         0.997857    0.0269742
staterror_CR[1]                          0.99954    0.0293408
staterror_CR[2]                         0.998473    0.0318292
staterror_CR[3]                          1.00971    0.0349083
staterror_CR[4]                          1.00486    0.0364792
staterror_CR[5]                         0.989723    0.0400666
staterror_CR[6]                         0.994196    0.0419805
staterror_CR[7]                          1.00521    0.0451032
staterror_CR[8]                          1.00388     0.047767
staterror_CR[9]                          1.00174     0.049841
staterror_CR[10]                        0.993675    0.0537749
staterror_CR[11]                          1.0104    0.0546737
staterror_CR[12]                         1.00289    0.0558952
staterror_CR[13]                         1.00079    0.0562323
staterror_CR[14]                        0.997735    0.0585504
staterror_CR[15]                        0.989696    0.0651691
staterror_CR[16]                        0.995055     0.064149
staterror_CR[17]                        0.989837    0.0670778
staterror_CR[18]                         1.00553    0.0664526
staterror_CR[19]                         1.00084    0.0577184
staterror_CR[20]                        0.997374     0.067604
staterror_CR[21]                        0.998286    0.0642007
staterror_CR[22]                        0.993212    0.0688023
staterror_CR[23]                        0.998069    0.0748962
staterror_CR[24]                        0.999121    0.0705492
staterror_CR[25]                         1.00408    0.0691164
staterror_CR[26]                        0.994134    0.0721662
staterror_CR[27]                         1.01195    0.0811816
staterror_CR[28]                        0.995989    0.0658501
staterror_CR[29]                         1.00104    0.0811242
staterror_CR[30]                         1.00124    0.0851744
staterror_CR[31]                         1.00575    0.0727089
staterror_CR[32]                         1.00135    0.0805725
staterror_CR[33]                         1.00126    0.0662334
staterror_CR[34]                        0.995305     0.080698
staterror_CR[35]                         1.00139    0.0694037
staterror_CR[36]                        0.996073    0.0829878
staterror_CR[37]                         1.00347    0.0835653
staterror_CR[38]                          1.0131    0.0736932
staterror_CR[39]                         1.00301     0.077023
staterror_CR[40]                         1.00243    0.0730223
staterror_CR[41]                        0.997364    0.0799413
staterror_CR[42]                         0.99668    0.0904589
staterror_CR[43]                         1.00311    0.0787455
staterror_CR[44]                        0.997055    0.0800546
staterror_CR[45]                        0.997356    0.0868834
staterror_CR[46]                         1.00521    0.0886911
staterror_CR[47]                        0.997443     0.087863
staterror_CR[48]                        0.997593    0.0885753
staterror_CR[49]                        0.997293    0.0914006
