file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/2/sndLHC.Genie-TGeant4_dig.root, runId: 1752482881, local_event: 49, eventId: 1, earliest veto hit time: 0.68 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/3/sndLHC.Genie-TGeant4_dig.root, runId: 1752482842, local_event: 40, eventId: 1, earliest veto hit time: 0.63 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/6/sndLHC.Genie-TGeant4_dig.root, runId: 1752482867, local_event: 44, eventId: 1, earliest veto hit time: 0.84 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/7/sndLHC.Genie-TGeant4_dig.root, runId: 1752482843, local_event: 54, eventId: 1, earliest veto hit time: 0.95 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/10/sndLHC.Genie-TGeant4_dig.root, runId: 1752482861, local_event: 56, eventId: 1, earliest veto hit time: 0.36 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/11/sndLHC.Genie-TGeant4_dig.root, runId: 1752482901, local_event: 55, eventId: 1, earliest veto hit time: 0.49 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/12/sndLHC.Genie-TGeant4_dig.root, runId: 1752482909, local_event: 28, eventId: 1, earliest veto hit time: 0.32 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/13/sndLHC.Genie-TGeant4_dig.root, runId: 1752482984, local_event: 69, eventId: 1, earliest veto hit time: 0.92 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/16/sndLHC.Genie-TGeant4_dig.root, runId: 1752482942, local_event: 31, eventId: 1, earliest veto hit time: 0.68 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/16/sndLHC.Genie-TGeant4_dig.root, runId: 1752482942, local_event: 51, eventId: 1, earliest veto hit time: 0.91 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/17/sndLHC.Genie-TGeant4_dig.root, runId: 1752483086, local_event: 24, eventId: 1, earliest veto hit time: 0.86 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/18/sndLHC.Genie-TGeant4_dig.root, runId: 1752482957, local_event: 25, eventId: 1, earliest veto hit time: 0.85 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/18/sndLHC.Genie-TGeant4_dig.root, runId: 1752482957, local_event: 34, eventId: 1, earliest veto hit time: 0.80 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/19/sndLHC.Genie-TGeant4_dig.root, runId: 1752482903, local_event: 0, eventId: 1, earliest veto hit time: 0.42 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/19/sndLHC.Genie-TGeant4_dig.root, runId: 1752482903, local_event: 26, eventId: 1, earliest veto hit time: 0.84 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/19/sndLHC.Genie-TGeant4_dig.root, runId: 1752482903, local_event: 55, eventId: 1, earliest veto hit time: 0.68 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/19/sndLHC.Genie-TGeant4_dig.root, runId: 1752482903, local_event: 59, eventId: 1, earliest veto hit time: 0.78 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/20/sndLHC.Genie-TGeant4_dig.root, runId: 1752482846, local_event: 4, eventId: 1, earliest veto hit time: 0.93 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/21/sndLHC.Genie-TGeant4_dig.root, runId: 1752483059, local_event: 27, eventId: 1, earliest veto hit time: 0.72 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/22/sndLHC.Genie-TGeant4_dig.root, runId: 1752482942, local_event: 58, eventId: 1, earliest veto hit time: 0.64 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/23/sndLHC.Genie-TGeant4_dig.root, runId: 1752482986, local_event: 37, eventId: 1, earliest veto hit time: 0.79 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/23/sndLHC.Genie-TGeant4_dig.root, runId: 1752482986, local_event: 42, eventId: 1, earliest veto hit time: 0.98 [ns]
